player_name,launch_speed,launch_angle,hardhit_percent,barrels_per_bbe_percent,babip,slg
"Arozarena, Randy",73.68421052631578,47.368421052631575,100.0,78.94736842105263,63.1578947368421,63.1578947368421
"Raleigh, Cal",78.94736842105263,100.0,89.47368421052632,100.0,26.31578947368421,100.0
"Crawford, J.P.",21.052631578947366,42.10526315789473,26.31578947368421,31.57894736842105,84.21052631578947,57.89473684210527
"Rodríguez, Julio",97.36842105263158,15.789473684210526,78.94736842105263,63.1578947368421,68.42105263157895,84.21052631578947
"Polanco, Jorge",68.42105263157895,63.1578947368421,68.42105263157895,68.42105263157895,42.10526315789473,89.47368421052632
"Williamson, Ben",44.73684210526316,5.263157894736842,47.368421052631575,10.526315789473683,94.73684210526315,36.84210526315789
"Garver, Mitch",89.47368421052632,84.21052631578947,73.68421052631578,47.368421052631575,36.84210526315789,47.368421052631575
"Canzone, Dominic",97.36842105263158,31.57894736842105,94.73684210526315,89.47368421052632,100.0,78.94736842105263
"Suárez, Eugenio",44.73684210526316,78.94736842105263,42.10526315789473,84.21052631578947,15.789473684210526,68.42105263157895
"Young, Cole",31.57894736842105,71.05263157894737,15.789473684210526,36.84210526315789,21.052631578947366,31.57894736842105
"Naylor, Josh",57.89473684210527,36.84210526315789,63.1578947368421,42.10526315789473,89.47368421052632,94.73684210526315
"Moore, Dylan",5.263157894736842,94.73684210526315,21.052631578947366,52.63157894736842,31.57894736842105,52.63157894736842
"Raley, Luke",52.63157894736842,26.31578947368421,52.63157894736842,73.68421052631578,47.368421052631575,21.052631578947366
"Tellez, Rowdy",84.21052631578947,71.05263157894737,84.21052631578947,94.73684210526315,5.263157894736842,73.68421052631578
"Solano, Donovan",26.31578947368421,52.63157894736842,31.57894736842105,15.789473684210526,78.94736842105263,42.10526315789473
"Mastrobuoni, Miles",36.84210526315789,10.526315789473683,36.84210526315789,5.263157894736842,73.68421052631578,15.789473684210526
"Rivas, Leo",15.789473684210526,57.89473684210527,5.263157894736842,26.31578947368421,57.89473684210527,10.526315789473683
"Robles, Victor",10.526315789473683,21.052631578947366,10.526315789473683,21.052631578947366,52.63157894736842,26.31578947368421
"Taveras, Leody",63.1578947368421,89.47368421052632,57.89473684210527,57.89473684210527,10.526315789473683,5.263157894736842
