player_name,slg,xslg,hardhit_percent,barrels_per_pa_percent,pa,abs,hits
"Arozarena, Randy",0.415,0.397,0.5054945054945055,0.06675392670157068,764,660,155
"Raleigh, Cal",0.595,0.532,0.4931818181818181,0.11330698287220024,759,642,161
"Crawford, J.P.",0.365,0.386,0.34864300626304806,0.03468208092485549,692,608,158
"Rodríguez, Julio",0.476,0.478,0.48301886792452836,0.06928104575163399,765,700,184
"Polanco, Jorge",0.489,0.448,0.4672897196261683,0.07880910683012259,571,517,135
"Williamson, Ben",0.31,0.317,0.4084507042253522,0.02389078498293516,293,277,70
"Garver, Mitch",0.349,0.371,0.47540983606557374,0.05016722408026756,299,261,55
"Canzone, Dominic",0.443,0.479,0.49509803921568635,0.09060402684563758,298,271,76
"Suárez, Eugenio",0.427,0.379,0.40131578947368424,0.07380073800738007,271,248,48
"Young, Cole",0.306,0.344,0.3163841807909605,0.03937007874015748,254,222,47
"Naylor, Josh",0.504,0.431,0.44776119402985076,0.06153846153846154,260,240,73
"Moore, Dylan",0.359,0.319,0.33898305084745756,0.04694835680751173,213,192,37
"Raley, Luke",0.299,0.344,0.4369747899159664,0.05963302752293578,218,184,35
"Tellez, Rowdy",0.434,0.483,0.48412698412698413,0.1081081081081081,185,173,36
"Solano, Donovan",0.344,0.314,0.3700787401574803,0.028409090909090908,176,163,41
"Mastrobuoni, Miles",0.296,0.365,0.38211382113821135,0.01764705882352941,170,152,38
"Rivas, Leo",0.292,0.251,0.2328767123287671,0.022900763358778622,131,106,23
"Robles, Victor",0.3,0.281,0.26262626262626265,0.0273972602739726,146,130,28
"Taveras, Leody",0.272,0.359,0.4393939393939394,0.0625,96,92,16
