,player_name,swing_rate,take_rate,whiff_rate,bb_percent,k_percent,hardhit_percent,barrels_per_pa_percent,xwoba,xslg,quality_z
0,"Arozarena, Randy",0.4395746052207541,0.5604253947792459,0.3027859237536657,0.08900000000000001,0.275,0.5054945054945055,0.06675392670157068,0.321,0.397,0.6862345991779012
1,"Raleigh, Cal",0.5181878306878307,0.4818121693121693,0.31589023611997447,0.138,0.27,0.4931818181818181,0.11330698287220024,0.367,0.532,1.6293209816325651
2,"Crawford, J.P.",0.45018829168093116,0.5498117083190688,0.20836501901140683,0.113,0.18600000000000003,0.34864300626304806,0.03468208092485549,0.33,0.386,-0.2811775014781824
3,"Rodríguez, Julio",0.5489251297257227,0.45107487027427723,0.28831870357866307,0.067,0.22399999999999998,0.48301886792452836,0.06928104575163399,0.347,0.478,0.8658872335259612
4,"Polanco, Jorge",0.4624664879356568,0.5375335120643432,0.2357487922705314,0.081,0.165,0.4672897196261683,0.07880910683012259,0.337,0.448,0.8206158870981333
5,"Williamson, Ben",0.4802306425041186,0.5197693574958814,0.2195540308747856,0.051,0.218,0.4084507042253522,0.02389078498293516,0.267,0.317,-0.7503146067656795
6,"Garver, Mitch",0.4113238967527061,0.5886761032472939,0.3076923076923077,0.10400000000000001,0.27399999999999997,0.47540983606557374,0.05016722408026756,0.298,0.371,0.1421897093493699
7,"Canzone, Dominic",0.517636684303351,0.48236331569664903,0.2657580919931857,0.07,0.23199999999999998,0.49509803921568635,0.09060402684563758,0.351,0.479,1.212520574913625
8,"Suárez, Eugenio",0.4942528735632184,0.5057471264367817,0.3667262969588551,0.077,0.358,0.40131578947368424,0.07380073800738007,0.273,0.379,-0.12044587976778143
9,"Young, Cole",0.44325897187196894,0.5567410281280311,0.24726477024070023,0.11,0.185,0.3163841807909605,0.03937007874015748,0.294,0.344,-0.699203279146781
10,"Naylor, Josh",0.5609756097560976,0.43902439024390244,0.22924901185770752,0.057999999999999996,0.154,0.44776119402985076,0.06153846153846154,0.322,0.431,0.38813463788288755
11,"Moore, Dylan",0.48986486486486486,0.5101351351351351,0.3471264367816092,0.08900000000000001,0.35700000000000004,0.33898305084745756,0.04694835680751173,0.262,0.319,-0.812460393397619
12,"Raley, Luke",0.5343601895734598,0.4656398104265403,0.4146341463414634,0.087,0.303,0.4369747899159664,0.05963302752293578,0.308,0.344,0.1879137054936887
13,"Tellez, Rowdy",0.44291609353507566,0.5570839064649243,0.2826086956521739,0.043,0.265,0.48412698412698413,0.1081081081081081,0.338,0.483,1.2556895458045354
14,"Solano, Donovan",0.516546762589928,0.48345323741007196,0.2562674094707521,0.045,0.21600000000000003,0.3700787401574803,0.028409090909090908,0.258,0.314,-0.9426462025805199
15,"Mastrobuoni, Miles",0.39280359820089955,0.6071964017991005,0.16412213740458015,0.1,0.17600000000000002,0.38211382113821135,0.01764705882352941,0.319,0.365,-0.4488680190296111
16,"Rivas, Leo",0.33766233766233766,0.6623376623376623,0.24519230769230768,0.183,0.252,0.2328767123287671,0.022900763358778622,0.278,0.251,-1.4022324168359972
17,"Robles, Victor",0.5647058823529412,0.43529411764705883,0.2673611111111111,0.068,0.226,0.26262626262626265,0.0273972602739726,0.254,0.281,-1.4473468373120184
18,"Taveras, Leody",0.509090909090909,0.4909090909090909,0.24489795918367346,0.031,0.281,0.4393939393939394,0.0625,0.253,0.359,-0.28381173856447095
